Interpolation, added noise: noise_strength = max(0.1 * (1 - epoch / numEpochs), 0.01)

beta1 = 0.5
optimizerD = torch.optim.Adam(netD.parameters(), lr=0.00005, betas=(beta1, 0.999))
optimizerG = torch.optim.Adam(netG.parameters(), lr=0.0002, betas=(beta1, 0.999))

[0/10] [0/284] Loss_D: 1.4393 Loss_G: 0.8359
[0/10] [50/284] Loss_D: 0.9401 Loss_G: 0.5849
[0/10] [100/284] Loss_D: 1.0862 Loss_G: 0.6979
[0/10] [150/284] Loss_D: 1.2527 Loss_G: 0.5905
[0/10] [200/284] Loss_D: 1.3426 Loss_G: 0.5586
[0/10] [250/284] Loss_D: 1.4155 Loss_G: 0.5463
[1/10] [0/284] Loss_D: 1.3744 Loss_G: 0.5496
[1/10] [50/284] Loss_D: 1.3980 Loss_G: 0.6123
[1/10] [100/284] Loss_D: 1.3802 Loss_G: 0.5756
[1/10] [150/284] Loss_D: 1.3919 Loss_G: 0.6203
[1/10] [200/284] Loss_D: 1.3668 Loss_G: 0.6038
[1/10] [250/284] Loss_D: 1.3705 Loss_G: 0.6353
[2/10] [0/284] Loss_D: 1.4099 Loss_G: 0.6338
[2/10] [50/284] Loss_D: 1.3996 Loss_G: 0.6482
[2/10] [100/284] Loss_D: 1.3794 Loss_G: 0.6808
[2/10] [150/284] Loss_D: 1.3889 Loss_G: 0.6813
[2/10] [200/284] Loss_D: 1.3986 Loss_G: 0.6819
[2/10] [250/284] Loss_D: 1.3802 Loss_G: 0.6789
[3/10] [0/284] Loss_D: 1.3864 Loss_G: 0.7195
[3/10] [50/284] Loss_D: 1.3773 Loss_G: 0.7162
[3/10] [100/284] Loss_D: 1.3843 Loss_G: 0.7002
[3/10] [150/284] Loss_D: 1.3840 Loss_G: 0.6948
[3/10] [200/284] Loss_D: 1.3776 Loss_G: 0.7110
[3/10] [250/284] Loss_D: 1.3835 Loss_G: 0.7294
[4/10] [0/284] Loss_D: 1.3787 Loss_G: 0.7424
[4/10] [50/284] Loss_D: 1.3821 Loss_G: 0.7352
[4/10] [100/284] Loss_D: 1.3847 Loss_G: 0.7316
[4/10] [150/284] Loss_D: 1.3923 Loss_G: 0.7554
[4/10] [200/284] Loss_D: 1.3801 Loss_G: 0.7297
[4/10] [250/284] Loss_D: 1.3816 Loss_G: 0.7399
[5/10] [0/284] Loss_D: 1.3756 Loss_G: 0.7328
[5/10] [50/284] Loss_D: 1.3873 Loss_G: 0.7296
[5/10] [100/284] Loss_D: 1.3817 Loss_G: 0.7589
[5/10] [150/284] Loss_D: 1.3833 Loss_G: 0.7575
[5/10] [200/284] Loss_D: 1.3832 Loss_G: 0.7406
[5/10] [250/284] Loss_D: 1.3799 Loss_G: 0.7525
[6/10] [0/284] Loss_D: 1.3837 Loss_G: 0.7533
[6/10] [50/284] Loss_D: 1.3803 Loss_G: 0.7629
[6/10] [100/284] Loss_D: 1.3783 Loss_G: 0.7611
[6/10] [150/284] Loss_D: 1.3786 Loss_G: 0.7538
[6/10] [200/284] Loss_D: 1.3764 Loss_G: 0.7683
[6/10] [250/284] Loss_D: 1.3826 Loss_G: 0.7767
[7/10] [0/284] Loss_D: 1.3790 Loss_G: 0.7459
[7/10] [50/284] Loss_D: 1.3764 Loss_G: 0.7735
[7/10] [100/284] Loss_D: 1.3781 Loss_G: 0.7641
[7/10] [150/284] Loss_D: 1.3773 Loss_G: 0.7897
[7/10] [200/284] Loss_D: 1.3785 Loss_G: 0.7702
[7/10] [250/284] Loss_D: 1.3790 Loss_G: 0.7643
[8/10] [0/284] Loss_D: 1.3741 Loss_G: 0.7908
[8/10] [50/284] Loss_D: 1.3776 Loss_G: 0.7739
[8/10] [100/284] Loss_D: 1.3801 Loss_G: 0.7742
[8/10] [150/284] Loss_D: 1.3766 Loss_G: 0.7828
[8/10] [200/284] Loss_D: 1.3824 Loss_G: 0.7694
[8/10] [250/284] Loss_D: 1.3790 Loss_G: 0.7697
[9/10] [0/284] Loss_D: 1.3811 Loss_G: 0.7632
[9/10] [50/284] Loss_D: 1.3760 Loss_G: 0.7559
[9/10] [100/284] Loss_D: 1.3762 Loss_G: 0.7885
[9/10] [150/284] Loss_D: 1.3770 Loss_G: 0.7820
[9/10] [200/284] Loss_D: 1.3817 Loss_G: 0.7654
[9/10] [250/284] Loss_D: 1.3765 Loss_G: 0.7709
