beta1 = 0.5

optimizerD = torch.optim.Adam(netD.parameters(), lr=0.0001, betas=(beta1, 0.999))
optimizerG = torch.optim.Adam(netG.parameters(), lr=0.0002, betas=(beta1, 0.999))

applied interpolation

[0/10] [0/284] Loss_D: 1.4077 Loss_G: 0.6739
[0/10] [50/284] Loss_D: 0.8664 Loss_G: 1.1812
[0/10] [100/284] Loss_D: 1.4180 Loss_G: 1.3338
[0/10] [150/284] Loss_D: 1.4167 Loss_G: 0.9154
[0/10] [200/284] Loss_D: 1.4168 Loss_G: 0.7857
[0/10] [250/284] Loss_D: 1.3965 Loss_G: 0.7498
[1/10] [0/284] Loss_D: 1.3894 Loss_G: 0.7968
[1/10] [50/284] Loss_D: 1.4163 Loss_G: 0.7692
[1/10] [100/284] Loss_D: 1.3870 Loss_G: 0.8186
[1/10] [150/284] Loss_D: 1.3793 Loss_G: 0.7523
[1/10] [200/284] Loss_D: 1.4128 Loss_G: 0.7530
[1/10] [250/284] Loss_D: 1.3751 Loss_G: 0.7731
[2/10] [0/284] Loss_D: 1.3974 Loss_G: 0.8008
[2/10] [50/284] Loss_D: 1.3865 Loss_G: 0.7901
[2/10] [100/284] Loss_D: 1.3925 Loss_G: 0.8028
[2/10] [150/284] Loss_D: 1.3933 Loss_G: 0.7729
[2/10] [200/284] Loss_D: 1.3865 Loss_G: 0.7776
[2/10] [250/284] Loss_D: 1.3712 Loss_G: 0.8195
[3/10] [0/284] Loss_D: 1.3673 Loss_G: 0.7373
[3/10] [50/284] Loss_D: 1.3932 Loss_G: 0.7951
[3/10] [100/284] Loss_D: 1.3821 Loss_G: 0.7763
[3/10] [150/284] Loss_D: 1.3791 Loss_G: 0.7793
[3/10] [200/284] Loss_D: 1.3793 Loss_G: 0.7780
[3/10] [250/284] Loss_D: 1.3637 Loss_G: 0.7875
[4/10] [0/284] Loss_D: 1.3734 Loss_G: 0.7980
[4/10] [50/284] Loss_D: 1.3641 Loss_G: 0.7933
[4/10] [100/284] Loss_D: 1.3829 Loss_G: 0.7882
[4/10] [150/284] Loss_D: 1.3754 Loss_G: 0.7822
[4/10] [200/284] Loss_D: 1.3666 Loss_G: 0.7925
[4/10] [250/284] Loss_D: 1.3766 Loss_G: 0.7879
[5/10] [0/284] Loss_D: 1.3598 Loss_G: 0.7779
[5/10] [50/284] Loss_D: 1.3734 Loss_G: 0.8073
[5/10] [100/284] Loss_D: 1.3117 Loss_G: 0.8068
[5/10] [150/284] Loss_D: 1.2293 Loss_G: 0.9336
[5/10] [200/284] Loss_D: 0.8826 Loss_G: 0.6938
[5/10] [250/284] Loss_D: 0.5240 Loss_G: 1.2704
[6/10] [0/284] Loss_D: 0.5585 Loss_G: 1.6138
[6/10] [50/284] Loss_D: 0.3628 Loss_G: 2.5150
[6/10] [100/284] Loss_D: 0.6398 Loss_G: 1.4523
[6/10] [150/284] Loss_D: 0.4935 Loss_G: 2.9003
[6/10] [200/284] Loss_D: 0.3731 Loss_G: 1.6677
[6/10] [250/284] Loss_D: 0.3741 Loss_G: 2.3493
[7/10] [0/284] Loss_D: 0.5412 Loss_G: 3.1702
[7/10] [50/284] Loss_D: 0.3698 Loss_G: 2.5795
[7/10] [100/284] Loss_D: 0.4464 Loss_G: 2.7238
[7/10] [150/284] Loss_D: 0.4014 Loss_G: 2.7098
[7/10] [200/284] Loss_D: 0.3760 Loss_G: 2.9512
[7/10] [250/284] Loss_D: 0.3519 Loss_G: 3.4449
[8/10] [0/284] Loss_D: 0.3688 Loss_G: 3.0802
[8/10] [50/284] Loss_D: 0.3768 Loss_G: 3.1650
[8/10] [100/284] Loss_D: 0.3508 Loss_G: 4.1700
[8/10] [150/284] Loss_D: 0.3445 Loss_G: 4.3743
[8/10] [200/284] Loss_D: 0.3993 Loss_G: 3.1199
[8/10] [250/284] Loss_D: 0.5128 Loss_G: 2.3528
[9/10] [0/284] Loss_D: 0.3453 Loss_G: 5.4887
[9/10] [50/284] Loss_D: 0.3565 Loss_G: 4.5173
[9/10] [100/284] Loss_D: 0.3553 Loss_G: 3.9484
[9/10] [150/284] Loss_D: 0.3433 Loss_G: 3.7524
[9/10] [200/284] Loss_D: 0.3672 Loss_G: 3.1808
[9/10] [250/284] Loss_D: 0.3416 Loss_G: 3.7711
